2.805,0.87,0.55,3.1
2.807,0.7,0.2,2.69
2.812,0.64,0.05,2.46
2.822,0.59,-0.08,2.25
2.823,0.54,-0.19,2.03
2.827,0.49,-0.29,1.82
2.835,0.45,-0.36,1.59
2.84,0.45,-0.43,1.33
2.842,0.45,-0.48,1.08
2.847,0.43,-0.53,0.84
2.853,0.38,-0.58,0.6
2.857,0.33,-0.62,0.36
2.862,0.28,-0.65,0.15
2.879,0.25,-0.68,-0.04
2.88,0.25,-0.7,-0.2
2.881,0.27,-0.73,-0.34
2.888,0.29,-0.75,-0.41
2.893,0.3,-0.75,-0.44
2.894,0.31,-0.77,-0.45
2.902,0.33,-0.8,-0.47
2.904,0.33,-0.84,-0.49
2.908,0.32,-0.88,-0.52
2.912,0.3,-0.91,-0.55
2.925,0.28,-0.93,-0.57
2.926,0.25,-0.95,-0.58
2.928,0.24,-0.97,-0.59
2.935,0.22,-1,-0.6
2.941,0.21,-1.04,-0.61
2.943,0.2,-1.06,-0.61
2.948,0.18,-1.07,-0.57
2.958,0.16,-1.08,-0.54
2.96,0.12,-1.07,-0.51
2.963,0.09,-1.06,-0.52
2.971,0.08,-1.03,-0.54
2.974,0.09,-0.98,-0.57
2.978,0.09,-0.94,-0.59
2.983,0.1,-0.9,-0.62
2.988,0.12,-0.87,-0.64
2.993,0.14,-0.83,-0.64
2.998,0.17,-0.79,-0.64
3.03,0.21,-0.76,-0.64
3.031,0.27,-0.73,-0.63
3.032,0.32,-0.71,-0.6
3.037,0.39,-0.7,-0.55
